# English inventory index, Spanish, French, German, Portuguese. = preserves technical notation; @N reuses row N.
0	«La generación de fotogramas atrae a gente muy peculiar»	«La génération d'images attire vraiment une drôle de clientèle»	„Framegenerierung zieht wirklich seltsame Kundschaft an“	«A geração de quadros atrai gente muito peculiar»
1	=	=	=	=
2	=	=	=	=
3	%.1f%% de la pantalla	%.1f%% de l'écran	%.1f%% des Bildschirms	%.1f%% da tela
4	=	=	=	=
5	=	=	=	=
6	%.2f%% de la pantalla	%.2f%% de l'écran	%.2f%% des Bildschirms	%.2f%% da tela
7	=	=	=	=
8	%08x, %s->%s, Cantidad: %llu, %s	%08x, %s->%s, Nombre : %llu, %s	%08x, %s->%s, Anzahl: %llu, %s	%08x, %s->%s, Quantidade: %llu, %s
9	=	=	=	=
10	=	=	=	=
11	=	=	=	=
12	=	=	=	=
13	%s activo: Pre-SR, antes del reescalado DLSS nativo.	%s actif : Pre-SR, avant la mise à l'échelle DLSS native.	%s aktiv: Pre-SR, vor dem nativen DLSS-Upscaling.	%s ativo: Pre-SR, antes do upscaling DLSS nativo.
14	%s está activo, pero el juego no lo usa todavía. Entra en la partida.	%s est actif, mais pas encore utilisé par le jeu. Entrez en jeu.	%s ist aktiv, wird aber noch nicht vom Spiel genutzt. Bitte ins Spiel wechseln.	%s está ativo, mas o jogo ainda não o usa. Entre na partida.
15	%s solicitado: cambiando de ruta; se retiene la salida NR.	%s demandé : changement de chemin ; sortie NR retenue.	%s angefordert: Pfadwechsel; NR-Ausgabe wird zurückgehalten.	%s solicitado: alterando o caminho; saída NR retida.
16	%s solicitado: esperando una evaluación Pre-SR segura.	%s demandé : attente d'une évaluation Pre-SR sûre.	%s angefordert: sichere Pre-SR-Auswertung wird abgewartet.	%s solicitado: aguardando uma avaliação Pre-SR segura.
17	%s exploración %.4f -> blanco %.2f%s	%s analyse %.4f -> blanc %.2f%s	%s Suche %.4f -> Weiß %.2f%s	%s análise %.4f -> branco %.2f%s
18	%zu. %s -- aún sin leer	%zu. %s -- pas encore lu	%zu. %s -- noch nicht gelesen	%zu. %s -- ainda não lido
19	%zu. %s = %.5f (observado %.5f..%.5f) %s	%zu. %s = %.5f (observé %.5f..%.5f) %s	%zu. %s = %.5f (beobachtet %.5f..%.5f) %s	%zu. %s = %.5f (observado %.5f..%.5f) %s
20	(Activo: %d)	(Actif : %d)	(Aktiv: %d)	(Ativo: %d)
21	(Nitidez actual: %.3f)	(Netteté actuelle : %.3f)	(Aktuelle Schärfe: %.3f)	(Nitidez atual: %.3f)
22	(Nitidez actual: desactivada)	(Netteté actuelle : désactivée)	(Aktuelle Schärfe: deaktiviert)	(Nitidez atual: desativada)
23	(Siguiendo el cursor)	(Suit actuellement le curseur)	(Folgt momentan dem Mauszeiger)	(Seguindo o cursor)
24	(Error al interceptar)	(Échec de l'interception)	(Hook fehlgeschlagen)	(Falha na interceptação)
25	(Posible alternativa FSR3)	(Repli FSR3 possible)	(Möglicher FSR3-Rückfall)	(Possível alternativa FSR3)
26	(retenido: ausente en este fotograma)	(conservé : absent de cette image)	(gehalten: fehlt in diesem Frame)	(retido: ausente neste quadro)
27	(inactivo)	(inactif)	(inaktiv)	(inativo)
28	(modelo en ejecución, efecto oculto)	(modèle actif, effet masqué)	(Modell läuft, Effekt ausgeblendet)	(modelo em execução, efeito oculto)
29	(la exploración solo observa; el punto blanco procede de otra fuente)	(l'analyse observe seulement ; le point blanc vient d'une autre source)	(die Suche beobachtet nur; der Weißpunkt stammt aus einer anderen Quelle)	(a análise apenas observa; o ponto branco vem de outra fonte)
30	({} no admite más de {}x)	({} ne prend pas en charge plus de {}x)	({} unterstützt höchstens {}x)	({} não suporta mais de {}x)
31	({} desactivado)	({} désactivé)	({} aus)	({} desativado)
32	*Control de daños generativo a nivel geométrico*	*Contrôle des dégâts génératifs au niveau géométrique*	*Generative Schadensbegrenzung auf Geometrieebene*	*Controle de danos generativos na geometria*
33	-1 sigue la estructura local y es el valor predeterminado del modelo, no intensidad cero. Desde 0, la piel se ajusta por separado.	-1 suit la structure locale : c'est le défaut du modèle, pas une intensité nulle. À partir de 0, la peau est réglée séparément.	-1 folgt der lokalen Struktur und ist der Modellstandard, nicht Stärke null. Ab 0 wird Haut unabhängig vom restlichen Bild eingestellt.	-1 segue a estrutura local e é o padrão do modelo, não intensidade zero. A partir de 0, a pele é ajustada separadamente.
34	La versión 0.8 fue un trabajo interno	La version 0.8 était un coup monté de l'intérieur	Version 0.8 war ein Insiderjob	A versão 0.8 foi um trabalho interno
35	Filtros de IA 2D, ahora con solo dos 5090	Filtres IA 2D, avec seulement deux 5090	2D-KI-Filter, jetzt mit nur zwei 5090	Filtros de IA 2D, agora com apenas duas 5090
36	<Tu texto gracioso aquí>	<Votre texte drôle ici>	<Dein lustiger Text hier>	<Seu texto engraçado aqui>
37	Un búfer encontrado por la exploración	Un tampon trouvé par l'analyse	Ein von der Suche gefundener Puffer	Um buffer encontrado pela análise
